,MIMIC-IV cohort,MIMIC-IV cohort,MIMIC-IV cohort,MIMIC-IV cohort,,,External cohort,External cohort,External cohort,External cohort,External cohort
Variable,Overall (n=1976),No SCM (n=1736),SCM (n=240),P value,P value,Overall (n=235),Overall (n=235),No SCM (n=177),SCM (n=58),P value
Demographics and severity,,,,,,,,,,
"Age, years","62.0 (50.0, 73.0)","62.0 (50.0, 73.0)","62.0 (52.0, 72.5)",0.717,0.717,"69.0 (56.0, 78.0)","69.0 (56.0, 78.0)","68.0 (55.0, 77.0)","72.5 (61.0, 81.0)",0.039
"Sex, n (%)",,,,0.001,0.001,,,,,0.817
Female,889 (45.0),804 (46.3),85 (35.4),,,84 (35.7),84 (35.7),64 (36.2),20 (34.5),
Male,1087 (55.0),932 (53.7),155 (64.6),,,151 (64.3),151 (64.3),113 (63.8),38 (65.5),
"BMI, kg/m²","28.1 (24.1, 33.2)","28.2 (24.3, 33.5)","26.6 (23.1, 31.2)",<0.001,<0.001,"23.0 (21.0, 26.0)","23.0 (21.0, 26.0)","24.0 (21.0, 27.0)","23.0 (21.0, 24.0)",0.076
SOFA score,"4.0 (2.0, 5.0)","4.0 (2.0, 5.0)","4.0 (2.0, 5.0)",0.760,0.760,"5.0 (3.0, 8.0)","5.0 (3.0, 8.0)","5.0 (3.0, 8.0)","5.0 (3.0, 8.0)",0.973
Cardiac and nutritional markers,,,,,,,,,,
"LVEF, %","65.0 (57.0, 77.5)","68.0 (60.0, 77.5)","40.0 (30.0, 45.0)",<0.001,<0.001,"56.0 (50.0, 58.0)","56.0 (50.0, 58.0)","58.0 (55.0, 58.0)","46.0 (38.0, 49.0)",<0.001
"Albumin, g/L","30.0 (25.0, 35.0)","30.0 (25.0, 35.0)","31.0 (24.0, 36.0)",0.569,0.569,"30.9 (27.2, 34.3)","30.9 (27.2, 34.3)","31.2 (28.2, 34.4)","29.6 (26.4, 33.3)",0.051
"Lymphocyte, ×10⁹/L","0.9 (0.5, 1.5)","0.9 (0.5, 1.5)","0.9 (0.5, 1.5)",0.748,0.748,"0.6 (0.4, 1.1)","0.6 (0.4, 1.1)","0.6 (0.4, 1.0)","0.7 (0.3, 1.1)",0.904
PNI,"35.4 (29.7, 41.6)","35.3 (29.9, 41.3)","36.6 (28.2, 43.5)",0.330,0.330,"34.9 (30.8, 38.7)","34.9 (30.8, 38.7)","35.2 (31.2, 38.6)","33.7 (29.8, 38.7)",0.233
Laboratory markers,,,,,,,,,,
"Lactate, mmol/L","2.3 (1.5, 4.4)","2.3 (1.5, 4.0)","3.5 (1.9, 6.5)",<0.001,<0.001,"1.7 (1.1, 2.9)","1.7 (1.1, 2.9)","1.5 (1.1, 2.9)","1.9 (1.2, 3.3)",0.164
"Creatinine, μmol/L","114.9 (79.6, 203.3)","114.9 (79.6, 203.3)","123.8 (88.4, 203.3)",0.113,0.113,"133.0 (78.0, 276.0)","133.0 (78.0, 276.0)","131.0 (73.0, 264.0)","161.0 (99.0, 349.0)",0.089
"WBC, ×10⁹/L","14.8 (9.9, 21.0)","14.4 (9.7, 20.5)","17.0 (11.6, 23.2)",<0.001,<0.001,"12.4 (7.4, 17.5)","12.4 (7.4, 17.5)","12.6 (7.6, 17.8)","11.7 (7.4, 16.2)",0.342
"Platelet, ×10⁹/L","146.0 (85.5, 214.5)","143.0 (84.0, 212.0)","156.5 (96.5, 226.5)",0.073,0.073,"177.0 (92.0, 258.0)","177.0 (92.0, 258.0)","178.0 (100.0, 266.0)","172.0 (89.0, 233.0)",0.375
"BUN, mmol/L","9.3 (6.1, 15.7)","9.3 (6.1, 16.1)","9.3 (6.4, 14.5)",0.572,0.572,"13.1 (8.1, 21.8)","13.1 (8.1, 21.8)","11.9 (7.3, 20.6)","15.7 (12.0, 30.4)",0.002
Comorbidities,,,,,,,,,,
"Coronary artery disease, n (%)",578 (29.3),447 (25.7),131 (54.6),<0.001,<0.001,32 (13.6),32 (13.6),15 (8.5),17 (29.3),<0.001
"Diabetes mellitus, n (%)",501 (25.4),436 (25.1),65 (27.1),0.511,0.511,70 (29.8),70 (29.8),49 (27.7),21 (36.2),0.218
"Hypertension, n (%)",1107 (56.0),970 (55.9),137 (57.1),0.724,0.724,99 (42.1),99 (42.1),74 (41.8),25 (43.1),0.862
"Chronic kidney disease, n (%)",329 (16.6),281 (16.2),48 (20.0),0.137,0.137,21 (8.9),21 (8.9),13 (7.3),8 (13.8),0.135
"COPD, n (%)",449 (22.7),389 (22.4),60 (25.0),0.369,0.369,22 (9.4),22 (9.4),11 (6.2),11 (19.0),0.004
Organ support,,,,,,,,,,
"Mechanical ventilation, n (%)",1145 (57.9),981 (56.5),164 (68.3),<0.001,<0.001,148 (63.0),148 (63.0),108 (61.0),40 (69.0),0.277
"Vasopressor use, n (%)",913 (46.2),776 (44.7),137 (57.1),<0.001,<0.001,145 (61.7),145 (61.7),110 (62.1),35 (60.3),0.806
Outcomes; descriptive only,,,,,,,,,,
"28-day mortality, n (%)",506 (25.6),426 (24.5),80 (33.3),–,–,NA,NA,NA,NA,–
"90-day mortality, n (%)",633 (32.0),537 (30.9),96 (40.0),–,–,NA,NA,NA,NA,–
"In-hospital death, n (%)",NA,NA,NA,–,–,77 (32.8),77 (32.8),57 (32.2),20 (34.5),–
